"source","target","weight"
b_guarezi,FlavioBolsonaro,176
BetoFontes,MarleneFFL,174
farquardi,jairbolsonaro,173
ximenmalhador,exercitooficial,173
AgneloBorghi,STF_oficial,172
Irlandaemel,RodrigoMaia,172
b_guarezi,marcosdoval,172
b_guarezi,SenadorHeinze,172
rovanlavigne,STF_oficial,170
LucianaLimaMoro,MichelTemer,169
mspontocom,FNXConservadora,169
gcesar48,STF_oficial,168
valeriabrum33,STF_oficial,168
Ezequiasns,Senador_Ataides,167
AlanaMattos16,STF_oficial,167
Michella3,camaradeputados,167
marcotulio78,STF_oficial,166
ngelomarchioll1,revistaoeste,165
Rodrigo06177033,STF_oficial,165
LeiaRachor,SenadoFederal,164
Irlandaemel,camaradeputados,164
crisvela78,exercitooficial,163
ruisaldanha,portalfab,162
BetoFontes,Fasalles,162
xandevolp,gilmarmendes,161
aurora__9,STF_oficial,160
crisvela78,davialcolumbre,160
FDicro,STF_oficial,160
sredondo04,STF_oficial,160
AUSTRALIANO1980,STF_oficial,159
RitaOli36702816,STF_oficial,159
HildaDeSouzaMa1,portalfab,159
FerAisNeg,gilmarmendes,159
jonathas73,STF_oficial,158
nadia_patria,STF_oficial,158
SandraRicciar14,BrazilFight,158
fredvgs,STF_oficial,157
rosangela_bolze,gilmarmendes,156
crisvela78,MPF_PGR,156
VivianeCambui,STF_oficial,156
Emerdrigues,STF_oficial,155
Claudiarmo2,STF_oficial,155
PapaCorrupto,jairbolsonaro,155
Alvimar_JB,Estadao,154
republicanajc,STF_oficial,153
CAMPOSFN10,STF_oficial,153
albuca_gustavo,STF_oficial,151
FreitasGai,STF_oficial,151
ngelomarchioll1,leandroruschel,151
getuliosantana,jairbolsonaro,150
FabioGodinho8,STF_oficial,150
bmisoppo,STF_oficial,150
LAYLATRANETTY,NossaCarmenInfo,149
moacirpe2009,gen_heleno,149
azeredo_mg,STF_oficial,147
MaciMarcus,tercalivre,147
fjmacamargo,gilmarmendes,146
arquiteturaoral,STF_oficial,145
j_amaro,revistaoeste,145
RubemPortal,DamaresAlves,145
RubemPortal,tarcisiogdf,145
LeiaRachor,NossaCarmenInfo,144
NormaMa09099421,STF_oficial,144
AnaVela_,jairbolsonaro,144
PEC56URGENTE,STF_oficial,143
BrasilVero,STF_oficial,143
cristinaberto17,STF_oficial,143
Irlandaemel,alexandre,143
xandevolp,camaradeputados,143
romelfaustino,STF_oficial,142
ngelomarchioll1,taoquei1,142
Francis46481238,STF_oficial,142
crisvela78,alexandre,141
layla_bolsonaro,STF_oficial,140
ondejaciviu,cam_bolchevique,140
arnaldogb1,STF_oficial,140
MarquesSidneiTw,STF_oficial,140
bonnieximena,STF_oficial,139
frankrenaut,o_antagonista,139
McTom_BR,STF_oficial,139
RaphaellaNovaes,STF_oficial,139
VilmaFe44464577,jairbolsonaro,139
gigih1tag,STF_oficial,139
NinaLuz23695256,davialcolumbre,138
DeVilhena,jairbolsonaro,138
Iam_Rui_Silva,gugachacra,138
japonesvoador,majucoutinho,138
Jorge42931348,STF_oficial,137
raquelf83878815,gilmarmendes,137
lsmendonca51,STF_oficial,136
DayseBarela,STF_oficial,136
ViatorSagarana,STF_oficial,136
drw_spo,jairbolsonaro,136
GabrielSklemper,NossaCarmenInfo,135
DeGuam,YouTube,135
mspontocom,ForaStf,134
Marcos_AFSilva,SenadoFederal,134
raquelf83878815,alexandre,134
ejr281063,MichelTemer,133
ejr281063,GeneralGirao,133
PauloRo49195361,STF_oficial,132
MichiDornelles,STF_oficial,132
NavarroHeron,STF_oficial,132
Janaudis,o_antagonista,132
JoaoPaulo1206,STF_oficial,131
BMenezesSantana,STF_oficial,131
Wagner22309158,STF_oficial,131
Adrianobonitoms,STF_oficial,131
EvyKatz5,STF_oficial,131
frankrenaut,STF_oficial,130
LeiaRachor,MPF_PGR,129
AydeeMarchesin,STF_oficial,129
prsgs,jairbolsonaro,129
BeatrizCamposBH,STF_oficial,129
Alvimar_JB,VEJA,129
b_guarezi,senadoDEM,129
AguiarGuida,STF_oficial,128
Marcos_AFSilva,camaradeputados,128
AngelusSitael,STF_oficial,126
CunhaLucare,STF_oficial,126
BalbinoJunin,STF_oficial,126
Xand_Wisniewski,gilmarmendes,125
japonesvoador,RedeGlobo,125
LeiaRachor,YouTube,124
roger_sato,STF_oficial,123
chiccoze52,STF_oficial,123
AK38upper,SorayaThronicke,123
J_Lima1971,STF_oficial,122
chafurdius,STF_oficial,121
CintiaKWY,gilmarmendes,121
AK38upper,allantercalivre,121
barth_lisia,STF_oficial,120
viipaludo,STF_oficial,120
DeBarrosd,STF_oficial,119
JU_okay1,Gen_VillasBoas,119
ftelatin,STF_oficial,119
japonesvoador,CesarTralli,119
Irlandaemel,jairbolsonaro,118
bibicleonice,STF_oficial,118
MementoMoriXF,STF_oficial,117
rbuncker,STF_oficial,117
deenbr1,YouTube,117
rosangela_bolze,MPF_PGR,116
Julio39039095,STF_oficial,116
N_Carvalheira,STF_oficial,115
BetoFontes,roxmo,115
GerhardtBeatriz,STF_oficial,115
FabioTalhari,FabioTalhari,115
Michella3,gilmarmendes,115
vdutrafreitas,CarlosBolsonaro,115
PocaMarcelo,jairbolsonaro,115
PocaMarcelo,CarlaZambelli38,115
Iam_Rui_Silva,miltonjung,115
jeangaldino2010,STF_oficial,115
BordinVania,STF_oficial,114
EliasCorreios,STF_oficial,113
Ricardo94206375,STF_oficial,113
PocaMarcelo,JanainaDoBrasil,113
Iam_Rui_Silva,flaviofachel,113
ivymax59,STF_oficial,112
pedrouzae,STF_oficial,112
crisvela78,RicLewandowski,112
LucimarAssumpo1,exercitooficial,112
oscar201414,oscar201414,112
Elizabe55395245,jairbolsonaro,112
cassiagontijo,STF_oficial,111
BeneditaRodri11,STF_oficial,111
CintiaKWY,NossaCarmenInfo,111
EduardoTreesp,jairbolsonaro,111
ErnaniUSouza,SenadoFederal,111
MorettiTf,STF_oficial,111
ruisaldanha,fab_oficial,111
mspontocom,JoselitoC38,111
PocaMarcelo,Biakicis,111
PocaMarcelo,taoquei1,111
Gisaieira,STF_oficial,110
Blogbone8,STF_oficial,110
Estevao_1974,STF_oficial,110
jleites58,STF_oficial,110
rogeriovalente,STF_oficial,110
g_cbrandao,STF_oficial,110
mspontocom,AbdoFortunato,110
AK38upper,majorolimpio,110
Al10033699,STF_oficial,110
Simone59236888,STF_oficial,110
CaracasFabiano,STF_oficial,110
Tuffic57,STF_oficial,109
JWellingtonMelo,STF_oficial,109
RitaC_Guim,STF_oficial,109
MaizaNatal,STF_oficial,109
DAHORAWILSON,STF_oficial,109
Ezequiasns,Sen_Cristovam,109
AK38upper,davialcolumbre,109
Valter_em_JP,STF_oficial,109
LimaDoc,exercitooficial,108
BetoFontes,JanainaDoBrasil,108
AK38upper,alexandregarcia,108
CarlosG82785363,STF_oficial,108
g_garc2,g_garc2,108
cristinaberto17,LRobertoBarroso,108
marcelosousamm,STF_oficial,107
CeliamaraMara,STF_oficial,107
xandevolp,revistaoeste,107
PocaMarcelo,MagnoMalta,107
LimaDoc,STF_oficial,106
LucimarAssumpo1,SenadoFederal,106
natalin92105056,SenadoFederal,106
jeangaldino2010,LRobertoBarroso,106
britopinho,gilmarmendes,105
RenataElectraS,STF_oficial,105
Regis_lops,STF_oficial,105
crisvela78,rpsenador,105
rosamariaferr10,STF_oficial,104
LeiaRachor,mitags,104
aruthcao,STF_oficial,104
HildaDeSouzaMa1,PMorenoB,104
marcelo31861806,davialcolumbre,104
Regina_C_M_S,MarleneFFL1,104
DeVilhena,gen_heleno,104
X0NGUINHAS,NetoEmerson7804,104
edsonbahiag4,STF_oficial,103
LimaDoc,Gen_VillasBoas,103
fernandor159,STF_oficial,103
GuerreiroPatri9,jairbolsonaro,103
layla_bolsonaro,NossaCarmenInfo,102
saviodom,STF_oficial,102
BetoFontes,nemoto_hiro,102
X0NGUINHAS,juninholopes201,102
Ezequiasns,MPF_PGR,101
CandidaTargino,STF_oficial,101
FLAVIAMAZZOCKY,NossaCarmenInfo,101
PatyBlairBruxin,STF_oficial,101
gcesar48,MirandaSa_,101
chiccoze52,Estadao,101
CarrijoRener,STF_oficial,101
profeborto,profeborto,100
Arcamargo70,STF_oficial,100
sidartareis,STF_oficial,100
AnaNichel,STF_oficial,100
GabrielSklemper,gilmarmendes,100
Jessica36634135,wilsonwitzel,100
lightsromxnia,popeheywd,100
ALYCIAKYARA,NossaCarmenInfo,99
BetoFontes,direitadobr,99
BetoFontes,Jw6710,99
Rubens09338797,STF_oficial,99
SantosClara14,STF_oficial,99
Fernand34183043,STF_oficial,99
BR_DeTodos200Mi,STF_oficial,98
HildaDeSouzaMa1,CmdoCMA,98
kazehenrique,jairbolsonaro,98
FaccioMirela,STF_oficial,98
netpereira2,STF_oficial,98
brsemcomunas,davialcolumbre,98
Jessica36634135,joicehasselmann,98
SandraRicciar14,AleGZahra38,98
cristinadavila1,taoquei1,98
AlmachioRocha,STF_oficial,98
DavidGu50813398,jairbolsonaro,98
Cristinaa_AM,STF_oficial,97
AlvarezZeni,STF_oficial,97
solange5628090,STF_oficial,97
fredvgs,jairbolsonaro,97
ciancaglini_15,STF_oficial,97
FeioFei,jairbolsonaro,97
Antoniotertus,SF_Moro,97
amartins1960,ptbrasil,97
mspontocom,acordabrasil38,97
MrksVncs,STF_oficial,97
RubemPortal,LRobertoBarroso,97
amartins1960,tvglobo,97
dezhorasdez,STF_oficial,96
romelfaustino,MPF_PGR,96
marcelonico2,STF_oficial,96
kazehenrique,STF_oficial,96
HildaDeSouzaMa1,GenPauloChagas,96
McTom_BR,Gen_VillasBoas,96
MariaCr70515383,STF_oficial,96
DaniloLaurindo6,allantercalivre,96
EllenValle,LRobertoBarroso,96
MarquesSidneiTw,alexandre,96
gramigliorini,STF_oficial,95
cristianoimhof,STF_oficial,95
FLAVIAMAZZOCKY,gilmarmendes,95
ZeldaTinker,SenadoFederal,95
LucianaLimaMoro,MPF_PGR,95
jacquel24783276,davialcolumbre,95
FXavierBrasil,STF_oficial,95
sbano_ro,CNNBrasil,95
raquelf83878815,LRobertoBarroso,95
HumbertoReisJr,STF_oficial,94
FAXINANOPODER_,STF_oficial,94
ROBERTOSTARCKLE,STF_oficial,94
ROBERTOSTARCKLE,MPF_PGR,94
HildaDeSouzaMa1,AnaBiapax,94
gcesar48,MPF_PGR,94
chiccoze52,gilmarmendes,94
ArianeSalles4,STF_oficial,94
mspontocom,OsloJoselito38,94
EDSONTOQUE,jairbolsonaro,94
flavinhohcoelho,STF_oficial,94
gianlamarereis,STF_oficial,94
Luciano31369221,STF_oficial,94
CeliaPfau,STF_oficial,93
familiadestro,STF_oficial,93
Ezequiasns,lasiermartins,93
BetoFontes,88gaels,93
FilosofoPessoa,jairbolsonaro,93
OlgaFotografa,STF_oficial,93
LuizaMa53414948,STF_oficial,93
Zaldini,STF_oficial,93
GuerreiroPatri9,STF_oficial,93
X0NGUINHAS,4Mariah_7,93
Wagner0288,STF_oficial,92
Rosevillanova,STF_oficial,92
Valriasilvestr4,STF_oficial,92
Xand_Wisniewski,alexandre,92
maalelimas,o_antagonista,92
chiccoze52,CFOAB,92
crisvela78,camaradeputados,92
ngelomarchioll1,Biakicis,92
natalin92105056,STF_oficial,92
aquinovianaaqu1,STF_oficial,92
mari1carvalho,STF_oficial,91
chamarelli65,YouTube,91
aruthcao,exercitooficial,91
_marilda,STF_oficial,91
BetoFontes,lobaoeletrico,91
Robersoncassol,STF_oficial,91
andre7015,STF_oficial,91
andidreia1,STF_oficial,91
Alessan63233707,STF_oficial,91
Regina_C_M_S,MarleneFFL,91
AK38upper,STF_oficial,91
Leonardo16397,STF_oficial,91
