"source","target","weight"
drrobertofilho,STF_oficial,15
carlosorico61,JusticaGovBR,15
Jf25240797,CarlaZambelli17,15
Welling81951122,STF_oficial,15
fabiolamazzulli,STF_oficial,15
Valriasilvestr4,davialcolumbre,15
Moshejesus17,gilmarmendes,15
EduardoTreesp,BolsonaroSP,15
DanielZatta1,STF_oficial,15
solangegoesmot1,davialcolumbre,15
RetratoVerdade,davialcolumbre,15
BetoFontes,celsoadvogado,15
BetoFontes,governodobrasil,15
mspontocom,engcoutocivil,15
BetoFontes,draanalice,15
BetoFontes,lima02romua,15
BetoFontes,ananiasfernanda,15
BetoFontes,Evandrosjc21,15
BetoFontes,andrecoppolla,15
BetoFontes,veramagalhaes,15
BetoFontes,MilaBeahtriz,15
Cquinalha2,STF_oficial,15
MilenaAC09,VemPraRua_br,15
EdnaYay,STF_oficial,15
1974martanunes,STF_oficial,15
clara_stelling,STF_oficial,15
Jufuller1,STF_oficial,15
Iza_Franco55,STF_oficial,15
LessaFer_BR,STF_oficial,15
Andssouz,SenadoFederal,15
NeudesFerreira,STF_oficial,15
FatimaVanini,o_antagonista,15
italojptorres,STF_oficial,15
marcosmderto,STF_oficial,15
mspontocom,gadodemaiss,15
claudio_farias,davialcolumbre,15
lgrregistro,RHPozzobon,15
Bellandrade4,STF_oficial,15
JacintaToledo,STF_oficial,15
AlaideGavino,STF_oficial,15
klaifer,STF_oficial,15
MiguelRegiSilva,jairbolsonaro,15
BetoFontes,BelinhaPoodlle,15
robsonolinto,RenovaMidia,15
lunatico1965,SF_Moro,15
MotaJunior7,jairbolsonaro,15
marcelohilari14,camaradeputados,15
rodriguscunhat,STF_oficial,15
Lacor17,MPF_PGR,15
tourismejipp,Congresso,15
RICARDOCDS1,jairbolsonaro,15
CANAL_do_ALONSO,VemPraRua_br,15
juliooliveira70,RodrigoMaia,15
Maral64654920,jairbolsonaro,15
Arcamargo70,alexandre,15
lgrregistro,SF_Moro,15
ManoelFidelis1,STF_oficial,15
elisangelacali2,STF_oficial,15
salseira,mitags,15
vilas1_,STF_oficial,15
cascudoplus,camaradeputados,15
AiltonBRNoronha,STF_oficial,15
Zan1972,STF_oficial,15
MarciaR60077702,STF_oficial,15
vanelice,STF_oficial,15
MarcoTuite,CarlaZambelli17,15
TiagoAr68575592,PastorMalafaia,15
BernadeteWinkl4,davialcolumbre,15
Fa1ryNight,STF_oficial,15
carloshj31,STF_oficial,15
kaleb_paz,o_antagonista,15
emanuelkerigma,STF_oficial,15
giganteasia,STF_oficial,15
AndreaColiado,gilmarmendes,15
izauria,DaciraC,15
allinpeace3,gilmarmendes,15
dheborabahia,STF_oficial,15
Wagner0288,luciononi,15
Wagner0288,cla1mara,15
caiomarcio5,SF_Moro,15
Wagner0288,leoraposa,15
Antonsilv1,BrazilFight,15
st_edi,STF_oficial,15
Marly53440332,jairbolsonaro,15
LuizFer65636289,STF_oficial,15
fayadroberto,TwitterBrasil,15
luizpachecobr,SF_Moro,15
luizpachecobr,marcosdoval,15
DrJosevalladao,pr_senado,15
Antonio60327221,jairbolsonaro,15
VeraCariocaBr,jairbolsonaro,15
Elaine16304657,N_Carvalheira,15
CeliaGumy,claudioedantas,15
MarcioTonisso,henriolliveira,15
MarcoTuite,augustosnunes,15
ligiadias561,STF_oficial,15
GersomPatriota,exercitooficial,15
ana_cavazzani,LeiaRachor,15
danielgodoy30,roxmo,15
zenda_simoes,MPF_PGR,15
fmaier50,SF_Moro,15
Maral64654920,jose_neumanne,15
PatriotaIsmael,davialcolumbre,15
juliooliveira70,jairbolsonaro,15
lobomai,jairbolsonaro,15
TorreKkktorre,plantaoenfoco,15
PassosLeopoldo,jairbolsonaro,15
mauhome7,STM_Oficial,15
MirnaFischer2,WSJ,15
pauloquaresma2,exercitooficial,15
RamielCorredei1,STF_oficial,15
_marilda,jairbolsonaro,15
SilvioR66707206,STF_oficial,15
ana_cavazzani,MoniqueCheker,15
ritafreitascury,STF_oficial,15
AK38upper,cartacapital,15
Mbraun1956,leandroruschel,15
crisvela78,nossacarmeninfo,15
RoseCereja10,conexaopolitica,15
RaphaellaNovaes,gilmarmendes,15
ricardoschiav,davialcolumbre,15
cintia_danzi,leandroruschel,15
elvis47774244,jairbolsonaro,15
JooLuizRamosNe1,lpm1704,15
ErnaniUSouza,GenPauloChagas,15
CarolanmeloA,STF_oficial,15
AvenaRonaldo,o_antagonista,15
03bf30118c25476,flaviogordon,15
Rose23077418,STF_oficial,15
messias2973,STF_oficial,15
ClaudiaMaradaC1,Bolsoneas,15
JeaneCunhaChag2,STF_oficial,15
hoto_da,RizethJ,15
LucineaMariaDe1,STF_oficial,15
CambuiWelber,STF_oficial,15
tourismejipp,congressonacio2,15
chiccoze52,PgrMpf,15
Oscarino2015,PAVAOMISTERIOS0,15
Jaga60554541,AbrahamWeint,15
fs_moura,STF_oficial,15
OrlandoBaia,STF_oficial,15
pauloropaiva,STF_oficial,15
CesarTorres2014,gilmarmendes,15
ClariceFeres,STF_oficial,15
Mavergueiro1947,gilmarmendes,15
ClaudioBeringhs,STF_oficial,15
PsXetra,gen_heleno,15
ConservadoraPE,leandroruschel,15
BrunoPita38,STF_oficial,15
chiccoze52,tvaparecida,15
brwithproud,STF_oficial,15
fjmacamargo,o_antagonista,15
AlanaMattos16,jairbolsonaro,15
CardosoIrlanda,gilmarmendes,15
Andrezinholds,BolsonaroSP,15
Josiana69455701,STF_oficial,15
FelipefrMacedo,gilmarmendes,15
homepassbh,gilmarmendes,15
xandevolp,lpbragancabr,15
JadrianeRibeiro,STF_oficial,15
fabiojmolina,DouglasGarcia,15
ClaudiaRonch,STF_oficial,15
ahdamatta,STF_oficial,15
marilimapsi,gilmarmendes,15
marthapaimpaz,CarlaZambelli17,15
MirnaFischer2,GFiuza_Oficial,15
Alexand10011965,jairbolsonaro,15
valeriabrum33,RodrigoMaia,15
RobsonG2c,CidQuerido,15
RobsonG2c,Biakicis,15
Mrcio61454671,gilmarmendes,15
WPinotti,SenadoFederal,15
GilMarioSCCP,erikakokay,15
sonecausa,taoquei1,15
fernadm1973,STF_oficial,15
Adriana99385475,JanainaDoBrasil,15
Elizabe55395245,davialcolumbre,15
rssprog,tarcisiogdf,15
PetronioJason,BolsonaroSP,15
DoSyrio,gilmarmendes,15
jorjaolages,STF_oficial,15
britopinho,MarcosQuezado1,15
MarcioTonisso,CarlaZambelli38,15
danielgodoy30,CarlaZambelli38,15
monteiro_marize,taoquei1,15
RonyEstrada,STF_oficial,15
EdjaneJesus,leandroruschel,15
LadyLaura32BP20,AdvocaciaGeral,15
mauhome7,gen_heleno,15
GuerreiroPatri9,republica_ctba,15
wrmpb,alexandre,15
nanavieirafraga,YouTube,15
HeloisaHelenaT3,RodrigoMaia,15
HeloisaHelenaT3,leandroruschel,15
MarlonMat3,leandroruschel,15
MaurSJr,g_g_garci,15
Eadwards2,LulaOficial,15
marinamelogomes,brunodedireita,15
eutedigoagora,STF_oficial,15
alehebrom,jairbolsonaro,15
AlessandraRapu1,blogdopannunzio,15
Irlandaemel,PauloMartins10,15
veronicagraziel,jairbolsonaro,15
rafagrunje21,RodrigoMaia,15
AGB240171,exercitooficial,15
Duzolina1,alexandre,15
cassiagontijo,jairbolsonaro,15
demetrioflu,jairbolsonaro,15
RafaelGarrcia,jairbolsonaro,15
asmreis,CNNBrasil,15
GuerreiroPatri9,conexaopolitica,15
heliocbortolon,profpaulamarisa,15
2elveofficial,Andreaf75,15
LEYNOTO,LiloVLOG,15
JucileiBorges,alexandre,15
LEYNOTO,Real_TMavPlus,15
osoldaliberdade,radardamidia,15
tacinunes77,STF_oficial,15
Michella3,leandroruschel,15
RevOrlandoCarr,STF,15
martinsaislan,jairbolsonaro,15
PauloCPAguiar10,Rconstantino,15
ZeldaTinker,AlanLopesRio,15
paschoaleto348,Biakicis,15
RosaneMonnerat1,Biakicis,15
LucianaIsis2207,jairbolsonaro,15
MariaCr06895885,RadtkeAlexandre,15
monicalimaprof,o_antagonista,15
MMBMara,leandroruschel,15
MMBMara,BolsonaroSP,15
JOTAGOMES1952,jairbolsonaro,15
bbalves,STF_oficial,15
kfzfernandes,blogdojefferson,15
GlenioCardoso_,STF_oficial,15
JOTAGOMES1952,CarlaZambelli38,15
LenyPatriota,STF_oficial,15
MoysesJB38,jairbolsonaro,15
eng_DM_,STF_oficial,15
fbarros0511,LRobertoBarroso,15
gouveia_kita,alexandre,15
EniMaciel1,jairbolsonaro,15
cassiagontijo,alexandre,15
prsgs,STF_oficial,15
heraldodfabbro,jdoriajr,15
Janaudis,Rconstantino,15
JosiBolsonaro,o_antagonista,15
ligegodoy,jairbolsonaro,15
duadri10,OGloboPolitica,15
JosiBremide,alexandre,15
AndersonPeres7,henrique_develp,15
ElisamaMF,portalMSN,15
silvialopes2101,STF_oficial,15
danilo_1962,jairbolsonaro,15
SoniaJoventino,manuelkobel,15
Orville87657703,jairbolsonaro,15
solange_elisa,STF_oficial,15
mariza_noore,SenadoFederal,15
masc_sergio,CarlaZambelli38,15
carneiro_thaisa,alexandre,15
raimnon,STF_oficial,15
BayerNany,STF_oficial,15
alexand18990298,STF_oficial,15
gcesar48,AdvocaciaGeral,15
wasluizbraga,blogdojefferson,15
patidarezzo,CNNBrasil,15
SantosIrrenil,STF_oficial,15
JaqueSantosRio,Jasantosjs36,15
zeruiduarte,jairbolsonaro,15
RafaelGrotz,jairbolsonaro,15
Kikofloripa1,CarlaZambelli38,15
MartaMaiaReis2,STF_oficial,15
Kikofloripa1,jairbolsonaro,15
Rubens09338797,LRobertoBarroso,15
MariaSo92340189,allantercalivre,15
MariaSo92340189,taoquei1,15
Renata03251701,STF_oficial,15
suzivaz1,mitags,15
MazuloJorge,STF_oficial,15
pelobemdobrasil,Rconstantino,15
ValsuperDepp,alexandre,15
Karine10268893,EuSouMBC,15
EvandroAugusto3,STF_oficial,15
Axleder1,STF_oficial,15
elisnunes1,STF_oficial,15
79marck,_SaraWinter,15
NovaesElviro,fn7k,15
stridapalli,STF_oficial,15
paschoaleto348,revistaoeste,15
X0NGUINHAS,Marcos_28_11_66,15
X0NGUINHAS,Fuzi_38,15
X0NGUINHAS,paulosr36797534,15
andgpires_pires,AdvocaciaGeral,15
NicasSpfc,STF_oficial,15
ReginaCliaDutr1,taoquei1,15
Hederso11000770,cirogomes,15
LSirot,CarlaZambelli38,15
MireRez,alexandre,15
monteiro_marize,bernardopkuster,15
arthurprof_neto,AmendoncaMJSP,15
mcandredabaixad,carlosjordy,15
eliasaffonso2,STF_oficial,15
cindycorretora,YouTube,15
Bruxa42725172,revistaoeste,15
KRMidia1,YouTube,15
SandraRicciar14,GFiuza_Oficial,15
ValeskaFSRodri1,ValeskaFSRodri1,15
BalPatriota,STF_oficial,15
MariaSo92340189,LRobertoBarroso,15
monteiro_marize,LRobertoBarroso,15
gcesar48,TSEjusbr,15
AnaVela_,arielnobrecoach,15
vinilson318,STF_oficial,15
X0NGUINHAS,Gi93386419,15
rodolfovllima,alexandre,15
abraaosm,STF_oficial,15
LSirot,leandroruschel,15
EDELY57893610,STF_oficial,15
Gschoe69,STF_oficial,15
Jorgetatileonar,gilmarmendes,15
SandraRicciar14,ArthurWeint,15
Cesar_nunes1958,STF_oficial,15
JacksonLimab,STF_oficial,15
Janaudis,gilmarmendes,15
DalilaOliveiraR,alexandre,15
Joelci11,STF_oficial,15
smbecerra,ravoxbrasil,15
CarlosG82785363,Rconstantino,15
prsgs,PastorMalafaia,15
Gygaweb,SenadoFederal,15
LamartineCabral,EduGiraoOficial,15
LamartineCabral,SenadoFederal,15
xandao_barros,STF_oficial,15
DANIELBARRETOGO,STF_oficial,15
edson_carneiro,Biakicis,15
psffernandes,revistaoeste,15
Billy_de_Kidy,AbrahamWeint,15
Billy_de_Kidy,ArthurWeint,15
gmqs2002,STF_oficial,15
jaolennun,DitaduraDoSTF,15
jaolennun,ilmosenhor,15
jaolennun,UOLNoticias,15
nelio_cristiano,BandJornalismo,15
MBADIN1,STF_oficial,15
OPandamaria5,STF,15
marcelo_csi,camaradeputados,15
Reginal48650733,STF_oficial,15
PedroScursone,revistaoeste,15
FATIMAA80856038,Biakicis,15
RosaAraujo2345,gazeta_brasil,15
edson_carneiro,Jouberth19,15
CharlesS2S1,LRobertoBarroso,15
marciaaestrella,revistaoeste,15
wsilva1972,STF_oficial,15
HumbertoSACosta,mitags,15
ABonett77,MPF_PGR,15
RobsonG2c,carlosjordy,15
CarlosG82785363,gilmarmendes,15
RGritzbach,STF_oficial,15
JF_Danellon,STF_oficial,15
tia_iaia_sil,STF_oficial,15
roselamaria,revistaoeste,15
FAssisAbreu38,YouTube,15
MarcioB92155384,PGR,15
Alexangrandi,jairbolsonaro,15
crisserafim31,Rconstantino,15
rodrigosouza_75,LRobertoBarroso,15
xandevolp,diegogarciapr,15
JoSoBusa,folha,15
Dk2Carlos,PlinioValerio45,15
Ro_maf,AiltonBenedito,15
LatinoRobo,Arservieri,15
ClaudioBeringhs,drika_rsf,15
ClaudioBeringhs,julianocso,15
ClaudioBeringhs,eleitordireita,15
GadoRob2,allanldsantos,15
CamposDaluz,mitags,15
RedLion_First,MubarakLuiza,15
RedLion_First,38_Rosy_,15
Ro_maf,reportersalles,15
IndignaTon,LulaOficial,15
ClioAlves17,exercitooficial,15
Gygaweb,jairbolsonaro,15
LeonardoGranje1,STF_oficial,15
gcesar48,eutrilheiro,15
hoto_da,LRobertoBarroso,15
juliama70742103,LRobertoBarroso,15
Magnoficial_,helbertgsouza,15
Magnoficial_,khrys_Henriques,15
Magnoficial_,martinsnetto,15
Magnoficial_,c_jeriva,15
Magnoficial_,RobsonWiller3,15
RafaelGarrcia,LulaOficial,15
adilia_oya,STF_oficial,15
EribertoBrito3,STF_oficial,15
HUGOPIRESSP,carlosjordy,15
ondejaciviu,FeCamargo,15
Arilsonlo,STF_oficial,15
ANDREA20605200,STF_oficial,15
OliveiraPeter,SigaGazetaBR,15
gcesar48,teresinhalopes,15
DoFerrarez,SigaGazetaBR,15
duarteagronomo,FabianaBPB,15
duarteagronomo,mfmbarr,15
PePatriota_02,STF_oficial,15
BorcathFernando,valentinameyer,15
CBeringhs,arantes_wilmar,15
Alexroc_gyn,STFVergonhaNacional,15
89nuncamais,BTGPDigital,15
89nuncamais,PauloGuedesMF,15
JosiBolsonaro,marmilbr,15
DoFerrarez,SenadoFederal,15
Naninha58,Naninha58,15
natalin92105056,MarkusGuimas2,15
natalin92105056,arqueiro_1,15
natalin92105056,JoOrsine,15
natalin92105056,MagnoLM2,15
amair_casado,jairbolsonaro,15
getulio10,STF_oficial,15
reinaldohsantos,rpsenador,15
isnumber,BobjeffHD,15
Clausarq14,rpsenador,15
CAMPOSFN10,ArthurLira_,15
Suelem95001897,STF_oficial,15
driparecida,ArthurLira_,15
amadinhass38,amadinhass38,15
Weyllj,ArthurLira_,15
BetoFontes,_rosy_38,15
BetoFontes,Musketieres,15
SimoneB22040627,exercitooficial,15
LadyLaura32BP20,rpsenador,15
sergioffelixmg,partidonovo30,15
sergioffelixmg,joaoamoedonovo,15
danthomazaquino,FafahMb,15
LOLIVEIRA8691,exercitooficial,15
MariaSo92340189,rpsenador,15
SSlavko27,carlosjordy,15
SSlavko27,CarlosBolsonaro,15
GetulioDuarthe,jdoriajr,15
TayDiniz5,taoquei1,15
Anderso08956920,gilmarmendes,15
oliveiraneto666,jairbolsonaro,15
FariaJanderson,STF_oficial,15
inesvaladares10,STF_oficial,15
fabi_salgado25,STF_oficial,15
cristinaberto17,rpsenador,15
Cesar3865086216,BrazilFight,15
_SilviaHammes,gilmarmendes,15
sylvioc21,SigaGazetaBR,15
Joelmamb68,STF_oficial,15
Evertonkabca,SenadoFederal,15
IsaqueGhiraldi,LRobertoBarroso,15
MariaEu74264679,SigaGazetaBR,15
CristinaBenevi6,MPF_PGR,15
anselmo_brandao,SF_Moro,15
SSlavko27,rpsenador,15
GefridoT,BonoroDiana,15
FabioSouzaCruz5,jairbolsonaro,15
FreirTania,STF_oficial,15
marilia_goretti,STF_oficial,15
WtacchiBh,SigaGazetaBR,15
Fernand34183043,SF_Moro,15
raphaellazaro,JovemPanNews,15
Claudio86878797,LRobertoBarroso,15
danthomazaquino,Atena_94,15
danthomazaquino,MarleneFFL,15
JClaudi90856910,LRobertoBarroso,15
DrBoTS2,O_Patriota__,15
DrBoTS2,CogLinus,15
DrBoTS2,FusaroZila,15
bertolozzi_cris,jairbolsonaro,15
EduardoCCEX,revistaoeste,15
Dantasbrasile,SigaGazetaBR,15
CelsodOespectro,STF_oficial,15
1414Simone,senadorhumberto,15
novidadesdover,jairbolsonaro,15
OInconformado3,malta_gi,15
OInconformado3,Nuu18812333,15
xfischer,rpsenador,15
OInconformado3,RonicleiaLima,15
LuizCar07944944,rpsenador,15
leobatisti2,STF_oficial,15
RobertoRJBrasil,RonicleiaLima,15
RobertoRJBrasil,MarcioM61326104,15
CARLOSAOSP,TSEjusbr,15
b_guarezi,tabataamaralsp,15
b_guarezi,JornalDaCidadeO,15
b_guarezi,senadorjean,15
Tom_Brasil_,STF_oficial,14
NMackinson,STF_oficial,14
mjandrade,mjandrade,14
cintiaoi,STF_oficial,14
LCMor9,STF_oficial,14
rosangela_bolze,PanichiRaphael,14
Marcotuliofranc,STF_oficial,14
DhomnCRF,STF_oficial,14
ardnas440,MMucke,14
tonytattoo,exercitooficial,14
getuliosantana,neusamandrade,14
AlexbrasilDel,YouTube,14
ardnas440,marmilbr,14
joalmagalhaes,Jornalivre_BR,14
rosedbarros,rosemetal222,14
garnov01,STF_oficial,14
milanodora,STF_oficial,14
___DENISE___EU_,STF_oficial,14
NusaAlex,STF_oficial,14
Jorge42931348,HumbertoReisJr,14
jlfriggi1,STF_oficial,14
simonearbex,STF_oficial,14
ursogalli,STF_oficial,14
EguchiGerson,STF_oficial,14
RitaC_Guim,sandrinhabian,14
MissMarplle,STF_oficial,14
nelsonJOAS,STF_oficial,14
heliobueno,STF_oficial,14
s_matta,STF_oficial,14
Leitor1919,STF_oficial,14
HeLoisa_Chow,STF_oficial,14
LeaMartins1,STF_oficial,14
rcbahia1,STF_oficial,14
LeiaRachor,MichelTemer,14
gracas_mello,STF_oficial,14
HumbertoReisJr,rosangela_bolze,14
duduacgsfc,STF_oficial,14
VozdoPovo3,STF_oficial,14
mineto41,STF_oficial,14
tatianaraujo,STF_oficial,14
Pati_Ty,STF_oficial,14
ninguem_anyone,STF_oficial,14
RoseMaryMeneze5,STF_oficial,14
luisauguti,STF_oficial,14
brasilsemfardo,STF_oficial,14
MateusBR78,STF_oficial,14
KGDebora,STF_oficial,14
Aline_lfa,STF_oficial,14
angelagindri43,STF_oficial,14
Nelson_Harter,STF_oficial,14
caranovanocongr,bobjackk,14
caranovanocongr,brasil247,14
revenanty_,STF_oficial,14
rosangela_bolze,SoraiaGebhard,14
Elizete_11,STF_oficial,14
lzaana_hotmail,STF_oficial,14
flavio_start,exercitooficial,14
Gus_Moreira,exercitooficial,14
caranovanocongr,gilmarmendes,14
RitaOli36702816,ChobasB,14
ChobasB,ChobasB,14
Tuffic57,GABRlELPlNHElRO,14
JUNIORFERRARIN,STF_oficial,14
LeiaRachor,Estadao,14
LuizlSilveira,STF_oficial,14
RitaOli36702816,gilmarmendes,14
aruthcao,PanichiRaphael,14
getuliosantana,catharinah16,14
lelacohen,gilmarmendes,14
fmaier50,SenadoFederal,14
LeiaRachor,iaragb,14
luizinhohang,STF_oficial,14
JoaoPaulo1206,N_Carvalheira,14
FranciscoMorad3,STF_oficial,14
SoraiaGebhard,mitags,14
BetoFontes,BecaBrix,14
FLAVIAMAZZOCKY,exercitooficial,14
JerryLandru,MichelTemer,14
jairolbbarros,STF_oficial,14
lucianocarlos68,STF_oficial,14
d_reisofficial,STF_oficial,14
dorivas5,STF_oficial,14
jl_cta,STF_oficial,14
dinga4,GloboNews,14
rosangela_bolze,veranimer,14
barth_lisia,barth_lisia,14
_emiliamartins_,STF_oficial,14
cristiano69srn,STF_oficial,14
mfrancanunes,mfrancanunes,14
FAXINANOPODER_,BelCarvalho5,14
LeiaRachor,fabiochat,14
MarizMarcella,mitags,14
Regis99,Gen_VillasBoas,14
RitaC_Guim,willcarvalho61,14
vaucemir,exercitooficial,14
Ramedli1001,YouTube,14
r_carvalho2017,exercitooficial,14
HildaDeSouzaMa1,JornalOGlobo,14
BetoFontes,catharinah16,14
BetoFontes,leandroruschel,14
MarizMarcella,TSEjusbr,14
rottweiler68,STF_oficial,14
HildaDeSouzaMa1,MPF_PGR,14
HildaDeSouzaMa1,ottoni3101,14
edsonsouza439,macunaimaz,14
Fatimaordemur,sandrabrasilia,14
giordano1805_jc,YouTube,14
luisclaudio10,STF_oficial,14
mbrito71,STF_oficial,14
rosangela_bolze,claudioedantas,14
LeiaRachor,AraciPatriota,14
_TvBolsonaro,jairbolsonaro,14
Romulopinbr,STF_oficial,14
dominguesnsh,STF_oficial,14
sapulino_torres,JusticaGovBR,14
thadeusimoes,STF_oficial,14
MirnaFischer2,STF_oficial,14
roniecoimbra,STF_oficial,14
romulobento,STF_oficial,14
EduardoTreesp,joicehasselmann,14
zecasa25,STF_oficial,14
_jorgetaga,stf_oficial,14
HILTONFAGUNDES1,Gen_VillasBoas,14
BetoFontes,VemPraRua_br,14
viborgespsi,STF_oficial,14
DelmiraMathias,o_antagonista,14
cristianoimhof,N_Carvalheira,14
mspontocom,KaRober6,14
PMorenoB,jairbolsonaro,14
BeneditaRodri11,gilmarmendes,14
jluqueiroz,gilmarmendes,14
rkss2,STF_oficial,14
Brasil_JP33,STF_oficial,14
Flavio_hollowX,Gen_VillasBoas,14
Humbert87474392,STF_oficial,14
cwfernandes,STF_oficial,14
HildaDeSouzaMa1,Gus_Moreira,14
jwilsao,STF_oficial,14
geoco19,STF_oficial,14
benhurcamacho,STF_oficial,14
GladysCastanho,GladysCastanho,14
HildaDeSouzaMa1,TonyII_1960,14
EduLemos01,gilmarmendes,14
marcotulio78,gleisi,14
luziania3108,STF_oficial,14
Li_Positive,STF_oficial,14
anamaria060651,STF_oficial,14
EduardoTreesp,Biakicis,14
foda_seBozo,trbrasil,14
MarizMarcella,RodrigoMaia,14
PMorenoB,realTrump4ever,14
EniaTereza,SenadoFederal,14
CampeloNilton,STF_oficial,14
Lude7L,SenadoFederal,14
GhiorziD,STF_oficial,14
rralmeida3,STF_oficial,14
FranciMQ,jairbolsonaro,14
taureis_,STF_oficial,14
JesusReidosRei7,jairbolsonaro,14
PolDir_18,VerCleber,14
mspontocom,EuSouMBC,14
AnaMariaJPS,SenadoFederal,14
MilenaAC09,CarlaZambelli17,14
patchabalgo,STF_oficial,14
SilvaAndergs,STF_oficial,14
RodrigoSCCPnapu,STF_oficial,14
MariaHe89436071,BolsonaroSP,14
anahteti,STF_oficial,14
LudkeSilvia,STF_oficial,14
OsvaldoLimaJni1,STF_oficial,14
Acsmiranda_,STF_oficial,14
PauloRo49195361,AnaPaulaVolei,14
BR_DeTodos200Mi,o_antagonista,14
Magalizangrando,STF_oficial,14
MaurcioTadeu2,STF_oficial,14
biavdebarros,o_antagonista,14
crisvela78,folha,14
ronaldotome,CarlaZambelli17,14
ACizzoto,STF_oficial,14
MaringelaGalvo4,lasiermartins,14
Loulair1,jairbolsonaro,14
Claudem00274881,LulaOficial,14
geraldo1963,jairbolsonaro,14
hhurbano,jairbolsonaro,14
DenizeBongiovi,STF_oficial,14
claudiaepg,STF_oficial,14
FeioFei,conexaopolitica,14
allantercalivre,allantercalivre,14
jrobertogarcia,STF_oficial,14
marciasimoes66,GoogleNews,14
SHolske,jairbolsonaro,14
Marcia_hel,STF_oficial,14
MarizMarcella,davialcolumbre,14
luciosoares5,davialcolumbre,14
MarcosR12414888,STF_oficial,14
RosaHelena_CA,STF_oficial,14
NinaLuz23695256,jairbolsonaro,14
VivianMalouf,MPF_PGR,14
y_cristan,STF_oficial,14
mloy201,STF_oficial,14
hhurbano,davialcolumbre,14
BetoFontes,CwbFabiana,14
BetoFontes,_Bel28,14
BetoFontes,MktMota,14
Lacor17,Gen_VillasBoas,14
Paide2Patriota,SenadoFederal,14
BetoFontes,Jrodrigues1954,14
alfeubruno2228,khr_santos,14
BetoFontes,Alexandre_Geao,14
hhurbano,gilmarmendes,14
Jf25240797,ngelaMarcia1,14
admmarialucia,branci13,14
EliasCorreios,jairbolsonaro,14
WJO_SP,jairbolsonaro,14
AnaCavallini1,STF_oficial,14
Lucia94731207,STF_oficial,14
dhfsantos,STF_oficial,14
MarcioTonisso,GeneralMourao,14
Debbaranowski,RoseDBarros,14
EliasSantos18,STF_oficial,14
LimaDoc,davialcolumbre,14
varjao_erick,STF_oficial,14
Myriam65588838,STF_oficial,14
Waldenilsonrobe,STF_oficial,14
LeniceAlmeida7,Diogoringenberg,14
elitebrazuca,elitebrazuca,14
rauberjef,jairbolsonaro,14
Cidinha34928645,allantercalivre,14
BetoFontes,SorayaThronicke,14
LinoZilda,veramagalhaes,14
RenatoLoureir16,RenovaMidia,14
renatocorreiabh,STF_oficial,14
MayDgony,STF_oficial,14
pertinax2020,STF_oficial,14
cleide_ita,STF_oficial,14
Ronimar0,STF_oficial,14
MarciaB16982788,STF_oficial,14
Moshejesus17,jairbolsonaro,14
dantasnight,STF_oficial,14
silviareginabe6,STF_oficial,14
alexluttor,STF_oficial,14
ftelatin,SenadorKajuru,14
alvriotw,davialcolumbre,14
ElianeF56160891,davialcolumbre,14
claudio_farias,jairbolsonaro,14
NicedoBrasil1,arletekuntz,14
CANAL_do_ALONSO,YouTube,14
mrreynaldo,STF_oficial,14
ZeldaTinker,Clauwild1,14
Lacor17,SF_Moro,14
carlossouzak,STF_oficial,14
Marc_ZD,MPF_PGR,14
HenriqueMarq100,CarlaZambelli17,14
TRMatheus,RodrigoMaia,14
CANAL_do_ALONSO,RevistaCrusoe,14
tumate60,Sen_Alessandro,14
mspontocom,Jorgebertuzzi,14
jusarars,jairbolsonaro,14
SoniaJoventino,mitags,14
deb156411,alexandre,14
Ma_sorocaba,jairbolsonaro,14
CarlaSoaresdeC1,jairbolsonaro,14
MariaEm47415677,STF_oficial,14
carlos_samico,carlos_samico,14
VanVascBurke,STF_oficial,14
mailliw1968,STF_oficial,14
ronaldomsimoes,STF_oficial,14
AdriAlcantara38,jairbolsonaro,14
MarcioTonisso,BolsonaroSP,14
PauloSpitzbarth,STF_oficial,14
allinpeace3,STF_oficial,14
maalelimas,SenadorKajuru,14
ElianeF56160891,CarlaZambelli17,14
AnaPaulaNoland,jairbolsonaro,14
norisregina,jairbolsonaro,14
robsonolinto,jairbolsonaro,14
ana_cavazzani,deltanmd,14
CRISTIN63738612,jairbolsonaro,14
ElianeF56160891,jairbolsonaro,14
hoto_da,BrazilFight,14
nfernandalucas,gilmarmendes,14
Wagner0288,SF_Moro,14
lbortolotti1,gilmarmendes,14
paula7marinho,RodrigoMaia,14
dear58teacher,STF_oficial,14
IzabellaOrnell2,STF_oficial,14
norisregina,STF_oficial,14
crisadumont,STF_oficial,14
kaleb_paz,STF_oficial,14
galo_2018,Carlos21298294,14
galo_2018,GracieusaBrito,14
NanciPerri,gilmarmendes,14
chiccoze52,AJUFE_oficial,14
NandaGSoriano,STF_oficial,14
lincolnmon2000,STF_oficial,14
Wagner0288,IsaRealitty,14
NormaMa09099421,MPF_PGR,14
NormaMa09099421,SenadoFederal,14
_Anisio,STF_oficial,14
FerAisNeg,davialcolumbre,14
leilatrs46,davialcolumbre,14
LucianaIsis2207,radardamidia,14
kaleb_paz,leandroruschel,14
Bravo_Zulu86,marcos_auica,14
mauhome7,oswaldojor,14
luizpachecobr,GeneralMourao,14
DalilaOliveiraR,davialcolumbre,14
CidQuerido,STF_oficial,14
Fa1ryNight,SenadoFederal,14
MauroMGC,taoquei1,14
